Name,Username,URL
Jean-Claude Classique,JCPEREZCODEX,https://twitter.com/JCPEREZCODEX
Frédéric Soulier,FredSoulier19,https://twitter.com/FredSoulier19
Eric Correia,ericcorreia,https://twitter.com/ericcorreia
Frédéric Delmarès,freddelmares,https://twitter.com/freddelmares
Marie-Hélène des Esgaulx,mhdesesgaulx,https://twitter.com/mhdesesgaulx
Philippe Buisson,phbuisson2020,https://twitter.com/phbuisson2020
Élisabeth Bonjean,ElisabethBonje2,https://twitter.com/ElisabethBonje2
Geneviève Darrieussecq,gdarrieussecq,https://twitter.com/gdarrieussecq
Jean Dionis du Séjour,jeandionis,https://twitter.com/jeandionis
Patrick Cassany,patrickcassany,https://twitter.com/patrickcassany
Daniel Benquet,daniel_benquet,https://twitter.com/daniel_benquet
François Bayrou,bayrou,https://twitter.com/bayrou
Jean-René Etchegaray,JreneEtchegaray,https://twitter.com/JreneEtchegaray
Jean-Michel Bernier,JeanMichel37120,https://twitter.com/JeanMichel37120
Jérôme Baloge,jeromebaloge,https://twitter.com/jeromebaloge
Jean-Pierre Abelin,jpabelin,https://twitter.com/jpabelin
Régis Banquet,RegisBanquet,https://twitter.com/RegisBanquet
Max Roustan,Fan_MaxRoustan,https://twitter.com/Fan_MaxRoustan
Yvan Lachaud,yvan_lachaud,https://twitter.com/yvan_lachaud
André Mandement,AndreMandement,https://twitter.com/AndreMandement
Jacques Oberti,JacquesOberti,https://twitter.com/JacquesOberti
Franck Montaugé,FranckMontauge,https://twitter.com/FranckMontauge
Frédéric Lacas,fredericlacas,https://twitter.com/fredericlacas
Gilles d'Ettore,GillesDETTORE,https://twitter.com/GillesDETTORE
Stéphan Rossignol,S_Rossignol,https://twitter.com/S_Rossignol
François Commeinhes,FCommeinhes,https://twitter.com/FCommeinhes
Jean-Marc Vayssouze-Faure,jmvayssouze,https://twitter.com/jmvayssouze
Gérard Trémège,GerardTremege,https://twitter.com/GerardTremege
Philippe Bonnecarrère,green_tropics,https://twitter.com/green_tropics
Brigitte Barèges,BrigitteBareges,https://twitter.com/BrigitteBareges
Jean-Marc Roubaud,jmroubaud,https://twitter.com/jmroubaud
David Samzun,DavidSamzun,https://twitter.com/DavidSamzun
Jean-Michel Brard,JeanMichelBRAR1,https://twitter.com/JeanMichelBRAR1
Gilles Bourdouleix,GBOURDOULEIX,https://twitter.com/GBOURDOULEIX
Didier Huchon,didierhuchon,https://twitter.com/didierhuchon
François Zocchetto,fzocchetto,https://twitter.com/fzocchetto
Luc Bouard,LucBouard,https://twitter.com/LucBouard
Yannick Moreau,YannickMOREAU,https://twitter.com/YannickMOREAU
Antoine Chéreau,PhilippeChereau,https://twitter.com/PhilippeChereau
Jean Leonetti,jeanleonetti,https://twitter.com/jeanleonetti
Jérôme Viaud,JeromeViaud,https://twitter.com/JeromeViaud
David Lisnard,DavidLisnard,https://twitter.com/DavidLisnard
Bernard Reynès,Bernardreyns1,https://twitter.com/Bernardreyns1
Olivier Audibert-Troin,olivieraudibert,https://twitter.com/olivieraudibert
Ferdinand Bernhard,FBernhard83,https://twitter.com/FBernhard83
Didier Bremond,DidierBremond,https://twitter.com/DidierBremond
Francis Adolphe,FrancisAdolphe,https://twitter.com/FrancisAdolphe
Éric Jalton,Jaltoneric1,https://twitter.com/Jaltoneric1
Jocelyn Sapotille,de_lamentin,https://twitter.com/de_lamentin
Gabrielle Louis-Carabin,carabin_louis,https://twitter.com/carabin_louis
Marie-Laure Phinéra-Horth,MLPhineraHorth,https://twitter.com/MLPhineraHorth
Luc Louison Clémenté,lucclemente,https://twitter.com/lucclemente
Bruno Nestor-Azérot,BNAzerot,https://twitter.com/BNAzerot
Mohamed Majani,majani_mohamed,https://twitter.com/majani_mohamed
Gérald Maillot,geraldmaillot,https://twitter.com/geraldmaillot
Jean-Paul Virapoullé,noutfierte,https://twitter.com/noutfierte
Joseph Sinimalé,SINIMALE2014,https://twitter.com/SINIMALE2014
